Customer_ID,Age,Income,Loan_Amount,Credit_Score,Loan_Term,Default_Status
CUST0001,58,69319,14436,361,23,Yes
CUST0002,25,131280,36896,332,295,Yes
CUST0003,19,116741,48117,477,311,Yes
CUST0004,65,115317,33621,815,174,Yes
CUST0005,35,60306,13898,464,124,Yes
CUST0006,33,33624,10548,311,99,No
CUST0007,32,46895,13992,705,208,Yes
CUST0008,26,89443,47090,733,116,Yes
CUST0009,65,148858,32253,765,289,Yes
CUST0010,24,51217,34886,564,327,Yes
CUST0011,61,75026,44611,813,20,No
CUST0012,65,84491,32898,613,94,No
CUST0013,75,145984,45845,532,58,No
CUST0014,52,27850,16783,733,304,Yes
CUST0015,23,147475,34779,460,326,Yes
CUST0016,55,38661,38385,578,150,Yes
CUST0017,45,113277,32795,394,260,No
CUST0018,20,56677,41179,834,75,Yes
CUST0019,19,32193,34494,686,60,Yes
CUST0020,23,25754,30212,428,138,Yes
CUST0021,31,140753,28285,516,220,Yes
CUST0022,32,50339,19794,710,125,No
CUST0023,50,137609,17176,357,135,No
CUST0024,56,130821,32837,524,247,Yes
CUST0025,19,88125,44621,701,324,No
CUST0026,53,74140,5486,488,96,No
CUST0027,30,111861,42875,379,100,No
CUST0028,63,137385,37647,779,124,Yes
CUST0029,59,68823,20515,788,155,Yes
CUST0030,62,80091,37881,620,66,Yes
CUST0031,52,147736,22645,714,13,No
CUST0032,44,118028,31924,689,134,Yes
CUST0033,32,31128,40793,468,355,No
CUST0034,46,96122,42771,355,169,No
CUST0035,55,32527,29049,680,234,No
CUST0036,35,86247,7192,734,308,No
CUST0037,69,37499,7481,499,319,No
CUST0038,73,103521,42234,576,209,Yes
CUST0039,18,127474,36671,411,240,Yes
CUST0040,66,71688,29155,406,121,Yes
CUST0041,69,29808,12416,379,130,Yes
CUST0042,28,97580,43028,671,63,Yes
CUST0043,62,94425,36557,643,53,Yes
CUST0044,45,28163,10247,328,221,Yes
CUST0045,39,77014,14311,545,239,No
CUST0046,35,106827,39498,588,238,Yes
CUST0047,27,146382,23312,466,88,No
CUST0048,31,37132,35470,409,208,No
CUST0049,66,51034,38878,366,326,No
CUST0050,39,58230,10127,516,206,Yes
CUST0051,24,54208,39298,311,23,Yes
CUST0052,23,131530,44981,616,289,Yes
CUST0053,42,61288,10796,492,151,Yes
CUST0054,24,141378,21071,506,117,Yes
CUST0055,40,124964,35962,333,356,No
CUST0056,72,71505,46331,546,263,Yes
CUST0057,40,111845,48498,575,235,No
CUST0058,56,129038,48825,387,280,Yes
CUST0059,34,116384,10117,345,187,No
CUST0060,69,62762,49831,795,176,No
CUST0061,20,61688,46529,346,22,Yes
CUST0062,64,79343,40336,349,267,Yes
CUST0063,47,55645,42986,622,271,Yes
CUST0064,52,50619,25479,395,327,Yes
CUST0065,25,29789,45176,616,210,Yes
CUST0066,42,143673,8458,308,238,No
CUST0067,23,46569,27514,665,322,No
CUST0068,53,37840,40063,589,117,Yes
CUST0069,36,122227,5706,707,202,Yes
CUST0070,71,120944,35727,812,85,No
CUST0071,58,96638,34755,499,51,No
